dataset,parameter,parameter_lab,plot,line,ribbon,bar,point,colour,fill,shape,line_type,bar_order,show_in_legend,selected_chart_0,selected_chart_1,selected_chart_2,selected_chart_3
Sensor,PUMP_FR,Pump Flow Rate,PUMP,True,False,False,False,"rgba(139,85,74,1)","rgba(139,85,74,1)",1.0,solid,,True,1,1,1,1
Sensor,TEMP_SP,Set Point Temp,TEMP,True,False,False,False,"rgba(126,126,126,1)","rgba(126,126,126,1)",1.0,solid,,True,1,1,1,1
Sensor,TEMP_OS,Feed Water Temp,TEMP,True,False,False,False,"rgba(139,85,74,1)","rgba(139,85,74,1)",1.0,solid,,True,1,1,1,1
Sensor,TEMP_BOX,Enclosure Temp,TEMP,True,False,False,False,"rgba(226,118,193,1)","rgba(226,118,193,1)",1.0,solid,,True,1,1,1,1
Sensor,TEMP_AMB,Ambient Air Temp,TEMP,True,False,False,False,"rgba(30,118,179,1)","rgba(30,118,179,1)",1.0,solid,,True,1,1,1,1
Sensor,PRESSURE_OS,OS Pressure,PRESSURE,True,False,False,False,"rgba(139,85,74,1)","rgba(139,85,74,1)",1.0,solid,,True,1,1,1,1
Sensor,SENSOR_pH,Feed pH,pH,True,False,False,False,"rgba(139,85,74,1)","rgba(139,85,74,1)",1.0,solid,,True,1,1,1,1
Sensor,SENSOR_CONDUCTIVITY,Feed Conductivity,CONDUCTIVITY,True,False,False,False,"rgba(139,85,74,1)","rgba(139,85,74,1)",1.0,solid,,True,1,1,1,1
Sensor,SENSOR_TILT,Enclosure Tilt,PRESSURE,True,False,False,False,"rgba(126,126,126,1)","rgba(126,126,126,1)",1.0,solid,,True,1,1,1,1
Skid,Inlet_pH,Pipe pH (BE:WISE),pH,True,False,False,False,"rgba(213,38,39,1)","rgba(137,41,41,1)",1.0,longdash,,True,1,1,1,1
Skid,Inlet_DO,Pipe DO (BE:WISE),DO,True,False,False,False,"rgba(213,38,39,1)","rgba(137,41,41,1)",1.0,longdash,,True,1,1,1,1
UO,EA_Uplevel,Upstream River (EA),LEVEL,True,False,False,False,"rgba(22,189,206,1)","rgba(137,41,41,1)",1.0,dotdash,,True,1,1,1,1
UO,EA_Downlevel,Downstream River (EA),LEVEL,True,False,False,False,"rgba(187,188,33,1)","rgba(137,41,41,1)",1.0,dotdash,,True,1,1,1,1
Sensor,BES_1__V_ave,BES 1,BES_V,True,True,False,False,"rgba(213,38,39,1)","rgba(213,38,39,0.25)",1.0,solid,,True,0,0,0,1
Sensor,BES_2__V_ave,BES 2,BES_V,True,True,False,False,"rgba(43,159,43,1)","rgba(43,159,43,0.25)",1.0,solid,,True,0,0,0,1
Sensor,BES_3__V_ave,BES 3,BES_V,True,True,False,False,"rgba(30,118,179,1)","rgba(30,118,179,0.25)",1.0,solid,,True,0,0,0,1
Sensor,BES_4__V_ave,BES 4,BES_V,True,True,False,False,"rgba(147,103,188,1)","rgba(147,103,188,0.25)",1.0,solid,,True,0,0,0,1
Sensor,BES_1__C_ave,BES 1,BES_C,True,True,False,False,"rgba(213,38,39,1)","rgba(213,38,39,0.25)",1.0,solid,,True,0,0,0,1
Sensor,BES_2__C_ave,BES 2,BES_C,True,True,False,False,"rgba(43,159,43,1)","rgba(43,159,43,0.25)",1.0,solid,,True,0,0,0,1
Sensor,BES_3__C_ave,BES 3,BES_C,True,True,False,False,"rgba(30,118,179,1)","rgba(30,118,179,0.25)",1.0,solid,,True,0,0,0,1
Sensor,BES_4__C_ave,BES 4,BES_C,True,True,False,False,"rgba(147,103,188,1)","rgba(147,103,188,0.25)",1.0,solid,,True,0,0,0,1
Sensor,BES_SUM__V_ave,∑ [BESs],BES_V,True,True,False,False,"rgba(91,91,91,1)","rgba(91,91,91,0.25)",1.0,solid,,True,0,0,0,1
Sensor,BES_SUM__C_ave,∑ [BESs],BES_C,True,True,False,False,"rgba(91,91,91,1)","rgba(91,91,91,0.25)",1.0,solid,,True,0,0,0,1
Sensor,REXT_1_ave,BES 1 R<sub>Ext</sub>,REXT,True,True,False,False,"rgba(213,38,39,1)","rgba(213,38,39,0.25)",1.0,solid,,True,0,0,0,1
Sensor,REXT_2_ave,BES 2 R<sub>Ext</sub>,REXT,True,True,False,False,"rgba(43,159,43,1)","rgba(43,159,43,0.25)",1.0,solid,,True,0,0,0,1
Sensor,REXT_3_ave,BES 3 R<sub>Ext</sub>,REXT,True,True,False,False,"rgba(30,118,179,1)","rgba(30,118,179,0.25)",1.0,solid,,True,0,0,0,1
Sensor,REXT_4_ave,BES 4 R<sub>Ext</sub>,REXT,True,True,False,False,"rgba(147,103,188,1)","rgba(147,103,188,0.25)",1.0,solid,,True,0,0,0,1
Sensor,TEMP_BES_ave,Heated Water Temp,TEMP,True,True,False,False,"rgba(43,159,43,1)","rgba(43,159,43,0.25)",1.0,solid,,True,0,0,0,1
Sensor,TEMP_MAT_ave,Heated Mats Temp,TEMP_PROCESS,True,True,False,False,"rgba(187,188,33,1)","rgba(187,188,33,0.25)",1.0,solid,,True,0,0,0,1
Sensor,TEMP_HOSE_ave,Heated Hoses Temp,TEMP_PROCESS,True,True,False,False,"rgba(43,159,43,1)","rgba(43,159,43,0.25)",1.0,solid,,True,0,0,0,1
Sensor,PRESSURE_BES_ave,BES Pressure,PRESSURE,True,True,False,False,"rgba(22,189,206,1)","rgba(22,189,206,0.25)",1.0,solid,,True,0,0,0,1
Skid,Inlet_Temp_ave,Pipe Temp (BE:WISE),TEMP,True,True,False,False,"rgba(213,38,39,1)","rgba(213,38,39,0.25)",1.0,longdash,,True,1,1,1,1
SampLog,BOD5_ave,Feed BOD₅,BOD,True,False,False,True,"rgba(22,189,206,1)","rgba(157,217,228,1)",21.0,solid,,True,1,1,1,1
SampLog,tCOD_ave,Feed tCOD,COD,True,False,False,True,"rgba(255,126,13,1)","rgba(255,186,119,1)",21.0,solid,,True,1,1,1,1
SampLog,sCOD_ave,Feed sCOD,COD,True,False,False,True,"rgba(22,189,206,1)","rgba(157,217,228,1)",21.0,solid,,True,1,1,1,1
